Processing molecule: formaldehyde
Running with alpha = 2
Running with l = 10
read ../formaldehyde/gamma_VASP_RNDbasis1.dat
Davidson
iter=     1  Rnorm=  2.575e+02  size(V,2)=    60
iter=     2  Rnorm=  1.527e+02  size(V,2)=   120
iter=     3  Rnorm=  3.459e+01  size(V,2)=   120
iter=     4  Rnorm=  7.293e+00  size(V,2)=   120
iter=     5  Rnorm=  2.422e+00  size(V,2)=   120
iter=     6  Rnorm=  1.056e+00  size(V,2)=   120
iter=     7  Rnorm=  6.944e-01  size(V,2)=   120
iter=     8  Rnorm=  4.349e-01  size(V,2)=   120
iter=     9  Rnorm=  3.689e-01  size(V,2)=   120
iter=    10  Rnorm=  2.574e-01  size(V,2)=   120
iter=    11  Rnorm=  2.314e-01  size(V,2)=   120
iter=    12  Rnorm=  1.759e-01  size(V,2)=   120
iter=    13  Rnorm=  1.526e-01  size(V,2)=   120
iter=    14  Rnorm=  1.317e-01  size(V,2)=   120
iter=    15  Rnorm=  1.120e-01  size(V,2)=   120
iter=    16  Rnorm=  9.389e-02  size(V,2)=   120
iter=    17  Rnorm=  8.089e-02  size(V,2)=   120
iter=    18  Rnorm=  6.988e-02  size(V,2)=   120
iter=    19  Rnorm=  6.136e-02  size(V,2)=   120
iter=    20  Rnorm=  5.173e-02  size(V,2)=   120
iter=    21  Rnorm=  4.472e-02  size(V,2)=   120
iter=    22  Rnorm=  3.954e-02  size(V,2)=   120
iter=    23  Rnorm=  3.348e-02  size(V,2)=   120
iter=    24  Rnorm=  2.940e-02  size(V,2)=   120
iter=    25  Rnorm=  2.403e-02  size(V,2)=   120
iter=    26  Rnorm=  2.243e-02  size(V,2)=   120
iter=    27  Rnorm=  1.859e-02  size(V,2)=   120
iter=    28  Rnorm=  1.810e-02  size(V,2)=   120
iter=    29  Rnorm=  1.299e-02  size(V,2)=   120
converged!
274.360708 seconds (27.64 k allocations: 5.282 GiB, 0.05% gc time)
Total estimated FLOPs: 7943458827660

Reading exact Eigenvalues...
Reading eigenvalues from ../Eigenvalues_folder/eigenres_formaldehyde_RNDbasis1.jld2

Difference between Davidson and exact eigenvalues:
1×60 adjoint(::Vector{Float64}) with eltype Float64:
 0.0  -1.13687e-13  -2.27374e-13  -1.13687e-13  8.52651e-14  5.68434e-14  -2.27374e-13  3.12639e-13  -2.84217e-14  -8.52651e-14  5.68434e-14  -4.9738e-14  -2.13163e-14  2.84217e-14  -3.55271e-14  8.52651e-14  -2.13163e-14  -6.03961e-14  4.26326e-14  -6.03961e-14  -9.59233e-14  2.4869e-14  1.77636e-14  -1.42109e-14  -3.55271e-15  2.84217e-14  -1.95399e-14  2.66454e-14  -6.21725e-14  4.61853e-14  -1.77636e-15  -2.84217e-14  3.19744e-14  5.32907e-15  -4.61853e-14  2.4869e-14  -2.4869e-14  1.06581e-14  3.55271e-14  -5.32907e-14  1.95399e-14  1.15463e-14  -2.22045e-14  5.86198e-14  4.35207e-14  7.63833e-14  -2.93099e-14  -7.99361e-14  -5.32907e-14  -3.55271e-15  -7.99361e-14  9.76996e-14  -1.77636e-15  2.4869e-13  8.75744e-13  5.88862e-12  6.35767e-11  9.14042e-7  4.66918e-6  0.000385433
Running with l = 50
read ../formaldehyde/gamma_VASP_RNDbasis1.dat
Davidson
iter=     1  Rnorm=  3.434e+02  size(V,2)=   300
iter=     2  Rnorm=  7.296e+01  size(V,2)=   600
iter=     3  Rnorm=  8.243e+00  size(V,2)=   600
iter=     4  Rnorm=  3.012e+00  size(V,2)=   600
iter=     5  Rnorm=  2.174e+00  size(V,2)=   600
iter=     6  Rnorm=  1.917e+00  size(V,2)=   600
iter=     7  Rnorm=  1.807e+00  size(V,2)=   600
iter=     8  Rnorm=  1.740e+00  size(V,2)=   600
iter=     9  Rnorm=  1.699e+00  size(V,2)=   600
iter=    10  Rnorm=  1.669e+00  size(V,2)=   600
iter=    11  Rnorm=  1.644e+00  size(V,2)=   600
