Processing molecule: formaldehyde
Running with alpha = 4
Running with l = 10
read ../formaldehyde/gamma_VASP_RNDbasis1.dat
Davidson
iter=     1  Rnorm=  2.575e+02  size(V,2)=    60
iter=     2  Rnorm=  1.527e+02  size(V,2)=   120
iter=     3  Rnorm=  3.456e+01  size(V,2)=   180
iter=     4  Rnorm=  6.642e+00  size(V,2)=   240
iter=     5  Rnorm=  2.315e+00  size(V,2)=   120
iter=     6  Rnorm=  6.956e-01  size(V,2)=   180
iter=     7  Rnorm=  1.349e-01  size(V,2)=   240
iter=     8  Rnorm=  2.690e-02  size(V,2)=   120
iter=     9  Rnorm=  7.711e-03  size(V,2)=   180
iter=    10  Rnorm=  3.679e-03  size(V,2)=   240
iter=    11  Rnorm=  2.091e-03  size(V,2)=   120
iter=    12  Rnorm=  1.455e-03  size(V,2)=   180
iter=    13  Rnorm=  4.348e-04  size(V,2)=   240
iter=    14  Rnorm=  1.158e-04  size(V,2)=   120
iter=    15  Rnorm=  4.439e-05  size(V,2)=   180
iter=    16  Rnorm=  2.763e-05  size(V,2)=   240
iter=    17  Rnorm=  1.534e-05  size(V,2)=   120
iter=    18  Rnorm=  1.147e-05  size(V,2)=   180
converged!
247.610344 seconds (16.83 k allocations: 4.038 GiB, 0.07% gc time)
Total estimated FLOPs: 6402951511020

Reading exact Eigenvalues...
Reading eigenvalues from ../Eigenvalues_folder/eigenres_formaldehyde_RNDbasis1.jld2

Relative deviation between Davidson and exact eigenvalues:
1×60 adjoint(::Vector{Float64}) with eltype Float64:
 -3.09177e-16  -9.29304e-16  -0.0  3.17646e-16  -3.38499e-16  -2.03213e-16  2.11143e-15  -1.29523e-15  -3.18899e-16  -1.66995e-16  4.50156e-16  1.53261e-16  4.65075e-16  3.13117e-16  9.77836e-16  -1.25428e-15  3.75535e-15  3.18408e-15  -4.30492e-16  2.48833e-15  -3.64633e-16  -3.92257e-15  4.93978e-15  -4.12786e-15  -3.49097e-15  6.6137e-16  1.03371e-15  -2.48111e-16  -4.40133e-15  1.42809e-15  -5.64675e-15  6.36165e-15  4.59437e-15  -5.93694e-16  -5.86875e-15  -6.37429e-15  6.31336e-15  3.64471e-15  1.01426e-14  -8.79311e-15  5.25457e-15  -6.32169e-15  3.89954e-16  -4.82389e-15  -2.83213e-15  -2.17343e-15  1.24183e-14  7.36419e-15  -1.27348e-14  -7.8147e-15  -6.69668e-15  -0.0  1.44889e-14  -7.23458e-15  9.22547e-15  1.72919e-14  -1.68189e-14  -1.35854e-13  -1.22984e-12  -2.14315e-11
Running with l = 50
read ../formaldehyde/gamma_VASP_RNDbasis1.dat
Davidson
iter=     1  Rnorm=  3.434e+02  size(V,2)=   300
iter=     2  Rnorm=  7.296e+01  size(V,2)=   600
iter=     3  Rnorm=  8.140e+00  size(V,2)=   900
iter=     4  Rnorm=  2.564e+00  size(V,2)=  1200
iter=     5  Rnorm=  1.837e+00  size(V,2)=   600
iter=     6  Rnorm=  1.599e+00  size(V,2)=   900
iter=     7  Rnorm=  1.431e+00  size(V,2)=  1200
iter=     8  Rnorm=  1.328e+00  size(V,2)=   600
iter=     9  Rnorm=  1.258e+00  size(V,2)=   900
iter=    10  Rnorm=  1.192e+00  size(V,2)=  1200
iter=    11  Rnorm=  1.154e+00  size(V,2)=   600
iter=    12  Rnorm=  1.130e+00  size(V,2)=   900
iter=    13  Rnorm=  1.104e+00  size(V,2)=  1200
iter=    14  Rnorm=  1.089e+00  size(V,2)=   600
iter=    15  Rnorm=  1.076e+00  size(V,2)=   900
iter=    16  Rnorm=  1.062e+00  size(V,2)=  1200
iter=    17  Rnorm=  1.053e+00  size(V,2)=   600
iter=    18  Rnorm=  1.044e+00  size(V,2)=   900
iter=    19  Rnorm=  1.032e+00  size(V,2)=  1200
iter=    20  Rnorm=  1.024e+00  size(V,2)=   600
iter=    21  Rnorm=  1.016e+00  size(V,2)=   900
iter=    22  Rnorm=  1.006e+00  size(V,2)=  1200
iter=    23  Rnorm=  1.000e+00  size(V,2)=   600
iter=    24  Rnorm=  9.927e-01  size(V,2)=   900
iter=    25  Rnorm=  9.841e-01  size(V,2)=  1200
iter=    26  Rnorm=  9.787e-01  size(V,2)=   600
iter=    27  Rnorm=  9.723e-01  size(V,2)=   900
iter=    28  Rnorm=  9.650e-01  size(V,2)=  1200
iter=    29  Rnorm=  9.596e-01  size(V,2)=   600
iter=    30  Rnorm=  9.533e-01  size(V,2)=   900
iter=    31  Rnorm=  9.462e-01  size(V,2)=  1200
iter=    32  Rnorm=  9.416e-01  size(V,2)=   600
iter=    33  Rnorm=  9.356e-01  size(V,2)=   900
iter=    34  Rnorm=  9.292e-01  size(V,2)=  1200
iter=    35  Rnorm=  9.249e-01  size(V,2)=   600
iter=    36  Rnorm=  9.194e-01  size(V,2)=   900
iter=    37  Rnorm=  9.132e-01  size(V,2)=  1200
iter=    38  Rnorm=  9.089e-01  size(V,2)=   600
iter=    39  Rnorm=  9.036e-01  size(V,2)=   900
iter=    40  Rnorm=  8.974e-01  size(V,2)=  1200
iter=    41  Rnorm=  8.935e-01  size(V,2)=   600
iter=    42  Rnorm=  8.887e-01  size(V,2)=   900
iter=    43  Rnorm=  8.826e-01  size(V,2)=  1200
iter=    44  Rnorm=  8.787e-01  size(V,2)=   600
iter=    45  Rnorm=  8.739e-01  size(V,2)=   900
iter=    46  Rnorm=  8.682e-01  size(V,2)=  1200
iter=    47  Rnorm=  8.648e-01  size(V,2)=   600
iter=    48  Rnorm=  8.604e-01  size(V,2)=   900
iter=    49  Rnorm=  8.551e-01  size(V,2)=  1200
iter=    50  Rnorm=  8.517e-01  size(V,2)=   600
iter=    51  Rnorm=  8.475e-01  size(V,2)=   900
iter=    52  Rnorm=  8.424e-01  size(V,2)=  1200
iter=    53  Rnorm=  8.391e-01  size(V,2)=   600
iter=    54  Rnorm=  8.350e-01  size(V,2)=   900
iter=    55  Rnorm=  8.300e-01  size(V,2)=  1200
iter=    56  Rnorm=  8.269e-01  size(V,2)=   600
iter=    57  Rnorm=  8.228e-01  size(V,2)=   900
iter=    58  Rnorm=  8.185e-01  size(V,2)=  1200
iter=    59  Rnorm=  8.156e-01  size(V,2)=   600
iter=    60  Rnorm=  8.118e-01  size(V,2)=   900
iter=    61  Rnorm=  8.071e-01  size(V,2)=  1200
iter=    62  Rnorm=  8.043e-01  size(V,2)=   600
